Activity,Person's Residence in Preparedness Region,Person's Residence in Local Health Department Jurisdiction,Person's Residence in County,Vaccine Type,Facility Type,Dose Number,Week,Month,Year,Data as of,Number of Doses
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,December,2020,12/31/20,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,January,2021,1/1/21,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,January,2021,1/2/21,8
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,51,December,2020,12/18/20,6
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,51,December,2020,12/19/20,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,52,December,2020,12/21/20,43
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,52,December,2020,12/22/20,45
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,52,December,2020,12/23/20,35
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,53,December,2020,12/28/20,56
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,53,December,2020,12/29/20,43
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,53,December,2020,12/30/20,66
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,53,December,2020,12/31/20,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,53,January,2021,1/2/21,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Other,First Dose,53,December,2020,12/30/20,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Pharmacy,First Dose,52,December,2020,12/21/20,6
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Pharmacy,First Dose,52,December,2020,12/22/20,6
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Pharmacy,First Dose,52,December,2020,12/23/20,7
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/31/20,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Hospital,First Dose,52,December,2020,12/24/20,3
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Hospital,First Dose,52,December,2020,12/26/20,3
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Hospital,First Dose,53,December,2020,12/28/20,11
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Hospital,First Dose,53,December,2020,12/29/20,158
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Hospital,First Dose,53,December,2020,12/30/20,5
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Hospital,First Dose,53,December,2020,12/31/20,12
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Local Health Department,First Dose,52,December,2020,12/23/20,11
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Local Health Department,First Dose,53,December,2020,12/28/20,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Local Health Department,First Dose,53,December,2020,12/29/20,4
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Local Health Department,First Dose,53,December,2020,12/30/20,16
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Pharmacy,First Dose,53,December,2020,12/28/20,2
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Pharmacy,First Dose,53,December,2020,12/29/20,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Pharmacy,First Dose,53,December,2020,12/30/20,4
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,51,December,2020,12/16/20,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,51,December,2020,12/17/20,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,51,December,2020,12/18/20,4
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,51,December,2020,12/19/20,2
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,52,December,2020,12/20/20,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,52,December,2020,12/21/20,5
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,52,December,2020,12/22/20,5
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,52,December,2020,12/23/20,10
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,52,December,2020,12/24/20,2
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,52,December,2020,12/26/20,2
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,53,December,2020,12/27/20,3
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,53,December,2020,12/28/20,117
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,53,December,2020,12/29/20,74
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,53,December,2020,12/30/20,98
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,53,December,2020,12/31/20,23
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,53,January,2021,1/2/21,7
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Local Health Department,First Dose,52,December,2020,12/20/20,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Local Health Department,First Dose,53,December,2020,12/29/20,2
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Local Health Department,First Dose,53,December,2020,12/30/20,3
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,52,December,2020,12/23/20,6
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,52,December,2020,12/24/20,5
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,52,December,2020,12/26/20,6
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,53,December,2020,12/28/20,42
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,53,December,2020,12/29/20,67
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,53,December,2020,12/30/20,259
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,53,December,2020,12/31/20,28
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,53,January,2021,1/2/21,4
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Internal Medicine,First Dose,53,December,2020,12/28/20,1
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,52,December,2020,12/22/20,2
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,52,December,2020,12/23/20,19
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,52,December,2020,12/26/20,5
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,53,December,2020,12/27/20,3
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,53,December,2020,12/28/20,45
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,53,December,2020,12/29/20,22
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,53,December,2020,12/30/20,20
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Other,First Dose,52,December,2020,12/22/20,1
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Other,First Dose,52,December,2020,12/23/20,2
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Other,First Dose,53,December,2020,12/28/20,1
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Other,First Dose,53,December,2020,12/30/20,1
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Other,First Dose,53,December,2020,12/31/20,1
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Other,First Dose,53,January,2021,1/2/21,6
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Pharmacy,First Dose,53,December,2020,12/28/20,39
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Pharmacy,First Dose,53,December,2020,12/29/20,3
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Pharmacy,First Dose,53,December,2020,12/30/20,1
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Pharmacy,First Dose,53,January,2021,1/2/21,1
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,51,December,2020,12/14/20,1
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,51,December,2020,12/16/20,1
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,51,December,2020,12/17/20,22
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,51,December,2020,12/18/20,509
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,51,December,2020,12/19/20,9
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/20/20,32
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/21/20,311
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/22/20,326
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/23/20,487
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/24/20,13
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/25/20,1
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/26/20,22
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,December,2020,12/27/20,8
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,December,2020,12/28/20,253
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,December,2020,12/29/20,251
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,December,2020,12/30/20,310
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,December,2020,12/31/20,24
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,January,2021,1/1/21,5
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,January,2021,1/2/21,25
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,51,December,2020,12/18/20,19
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,51,December,2020,12/19/20,1
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,52,December,2020,12/21/20,175
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,52,December,2020,12/22/20,203
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,52,December,2020,12/23/20,216
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,52,December,2020,12/26/20,3
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,53,December,2020,12/28/20,201
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,53,December,2020,12/29/20,196
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,53,December,2020,12/30/20,241
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,53,December,2020,12/31/20,18
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,53,January,2021,1/2/21,4
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Pharmacy,First Dose,52,December,2020,12/21/20,12
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Pharmacy,First Dose,52,December,2020,12/22/20,32
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Pharmacy,First Dose,52,December,2020,12/23/20,8
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Pharmacy,First Dose,52,December,2020,12/24/20,1
2020-21,Region 1,Jackson County Health Department,Jackson,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/31/20,1
2020-21,Region 1,Jackson County Health Department,Jackson,Moderna,Hospital,First Dose,52,December,2020,12/23/20,6
2020-21,Region 1,Jackson County Health Department,Jackson,Moderna,Hospital,First Dose,52,December,2020,12/24/20,5
2020-21,Region 1,Jackson County Health Department,Jackson,Moderna,Hospital,First Dose,52,December,2020,12/26/20,17
2020-21,Region 1,Jackson County Health Department,Jackson,Moderna,Hospital,First Dose,53,December,2020,12/28/20,40
2020-21,Region 1,Jackson County Health Department,Jackson,Moderna,Hospital,First Dose,53,December,2020,12/29/20,24
2020-21,Region 1,Jackson County Health Department,Jackson,Moderna,Hospital,First Dose,53,December,2020,12/30/20,45
2020-21,Region 1,Jackson County Health Department,Jackson,Moderna,Hospital,First Dose,53,December,2020,12/31/20,6
