Year Range,Persons Residence in Preparedness Region,Persons Residence in Local Health Department Jurisdiction,Persons Residence in County,Vaccine Type,Facility Type,Dose Number,Week,Month,Year,Date,Number of Doses
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Local Health Department,First Dose,53,January,2021,1/1/2021,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Other,First Dose,51,December,2020,12/17/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Other,First Dose,52,December,2020,12/22/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Other,First Dose,53,December,2020,12/28/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Other,First Dose,53,December,2020,12/29/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Other,First Dose,53,December,2020,12/31/2020,2
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Other,First Dose,53,January,2021,1/2/2021,5
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Pharmacy,First Dose,53,December,2020,12/28/2020,74
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Pharmacy,First Dose,53,December,2020,12/29/2020,39
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Pharmacy,First Dose,53,December,2020,12/30/2020,32
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Pharmacy,First Dose,53,December,2020,12/31/2020,6
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Pharmacy,First Dose,53,January,2021,1/2/2021,9
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Specialty Provider,First Dose,53,December,2020,12/31/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Moderna,Tribal Health,First Dose,52,December,2020,12/23/2020,2
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Family Practice,First Dose,53,December,2020,12/29/2020,11
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Family Practice,First Dose,53,December,2020,12/30/2020,15
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,51,December,2020,12/15/2020,5
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,51,December,2020,12/16/2020,8
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,51,December,2020,12/17/2020,43
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,51,December,2020,12/18/2020,195
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,51,December,2020,12/19/2020,35
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/20/2020,38
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/21/2020,323
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/22/2020,326
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/23/2020,274
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/24/2020,72
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/25/2020,6
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,52,December,2020,12/26/2020,43
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,December,2020,12/27/2020,53
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,December,2020,12/28/2020,265
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,December,2020,12/29/2020,204
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,December,2020,12/30/2020,233
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,December,2020,12/31/2020,108
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,January,2021,1/1/2021,17
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Hospital,First Dose,53,January,2021,1/2/2021,62
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,51,December,2020,12/18/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,51,December,2020,12/19/2020,2
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,52,December,2020,12/21/2020,6
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,52,December,2020,12/22/2020,9
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,52,December,2020,12/23/2020,7
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,53,December,2020,12/28/2020,7
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,53,December,2020,12/29/2020,6
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,53,December,2020,12/30/2020,17
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,53,December,2020,12/31/2020,4
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Local Health Department,First Dose,53,January,2021,1/1/2021,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Other,First Dose,51,December,2020,12/16/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Other,First Dose,52,December,2020,12/20/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Other,First Dose,52,December,2020,12/21/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Other,First Dose,53,December,2020,12/27/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Pharmacy,First Dose,51,December,2020,12/18/2020,3
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Pharmacy,First Dose,52,December,2020,12/20/2020,1
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Pharmacy,First Dose,52,December,2020,12/21/2020,3
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Pharmacy,First Dose,52,December,2020,12/22/2020,4
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Pharmacy,First Dose,52,December,2020,12/23/2020,2
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Specialty Provider,First Dose,51,December,2020,12/18/2020,4
2020-21,No Preparedness Region,No Local Health Department,No County,Pfizer,Specialty Provider,First Dose,53,December,2020,12/29/2020,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/31/2020,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,52,December,2020,12/23/2020,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,52,December,2020,12/24/2020,8
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,52,December,2020,12/26/2020,8
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,53,December,2020,12/28/2020,51
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,53,December,2020,12/29/2020,69
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,53,December,2020,12/30/2020,143
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,53,December,2020,12/31/2020,16
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Hospital,First Dose,53,January,2021,1/2/2021,3
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Local Health Department,First Dose,52,December,2020,12/22/2020,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Local Health Department,First Dose,52,December,2020,12/23/2020,41
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Local Health Department,First Dose,52,December,2020,12/26/2020,19
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Local Health Department,First Dose,53,December,2020,12/28/2020,19
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Local Health Department,First Dose,53,December,2020,12/29/2020,22
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Local Health Department,First Dose,53,December,2020,12/30/2020,16
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Other,First Dose,53,December,2020,12/28/2020,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Other,First Dose,53,January,2021,1/2/2021,6
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Pharmacy,First Dose,53,December,2020,12/28/2020,13
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Pharmacy,First Dose,53,December,2020,12/29/2020,3
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Pharmacy,First Dose,53,December,2020,12/30/2020,6
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Moderna,Pharmacy,First Dose,53,December,2020,12/31/2020,7
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,51,December,2020,12/16/2020,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,51,December,2020,12/17/2020,3
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,51,December,2020,12/18/2020,129
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,51,December,2020,12/19/2020,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,52,December,2020,12/20/2020,4
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,52,December,2020,12/21/2020,115
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,52,December,2020,12/22/2020,70
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,52,December,2020,12/23/2020,139
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,52,December,2020,12/24/2020,4
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,52,December,2020,12/26/2020,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,December,2020,12/27/2020,3
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,December,2020,12/28/2020,71
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,December,2020,12/29/2020,106
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,December,2020,12/30/2020,103
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,December,2020,12/31/2020,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,January,2021,1/1/2021,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Hospital,First Dose,53,January,2021,1/2/2021,8
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,51,December,2020,12/18/2020,6
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,51,December,2020,12/19/2020,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,52,December,2020,12/21/2020,43
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,52,December,2020,12/22/2020,45
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,52,December,2020,12/23/2020,35
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,53,December,2020,12/28/2020,56
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,53,December,2020,12/29/2020,43
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,53,December,2020,12/30/2020,66
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,53,December,2020,12/31/2020,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Local Health Department,First Dose,53,January,2021,1/2/2021,1
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Other,First Dose,53,December,2020,12/30/2020,2
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Pharmacy,First Dose,52,December,2020,12/21/2020,6
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Pharmacy,First Dose,52,December,2020,12/22/2020,6
2020-21,Region 1,Barry-Eaton District Health Department,Eaton,Pfizer,Pharmacy,First Dose,52,December,2020,12/23/2020,7
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/31/2020,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Hospital,First Dose,52,December,2020,12/24/2020,3
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Hospital,First Dose,52,December,2020,12/26/2020,3
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Hospital,First Dose,53,December,2020,12/28/2020,11
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Hospital,First Dose,53,December,2020,12/29/2020,158
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Hospital,First Dose,53,December,2020,12/30/2020,5
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Hospital,First Dose,53,December,2020,12/31/2020,12
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Local Health Department,First Dose,52,December,2020,12/23/2020,11
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Local Health Department,First Dose,53,December,2020,12/28/2020,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Local Health Department,First Dose,53,December,2020,12/29/2020,4
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Local Health Department,First Dose,53,December,2020,12/30/2020,16
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Pharmacy,First Dose,53,December,2020,12/28/2020,2
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Pharmacy,First Dose,53,December,2020,12/29/2020,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Moderna,Pharmacy,First Dose,53,December,2020,12/30/2020,4
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,51,December,2020,12/16/2020,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,51,December,2020,12/17/2020,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,51,December,2020,12/18/2020,4
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,51,December,2020,12/19/2020,2
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,52,December,2020,12/20/2020,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,52,December,2020,12/21/2020,5
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,52,December,2020,12/22/2020,5
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,52,December,2020,12/23/2020,10
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,52,December,2020,12/24/2020,2
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,52,December,2020,12/26/2020,2
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,53,December,2020,12/27/2020,3
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,53,December,2020,12/28/2020,117
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,53,December,2020,12/29/2020,74
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,53,December,2020,12/30/2020,98
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,53,December,2020,12/31/2020,23
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Hospital,First Dose,53,January,2021,1/2/2021,7
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Local Health Department,First Dose,52,December,2020,12/20/2020,1
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Local Health Department,First Dose,53,December,2020,12/29/2020,2
2020-21,Region 1,Branch-Hillsdale-St.Joseph District Health Department,Hillsdale,Pfizer,Local Health Department,First Dose,53,December,2020,12/30/2020,3
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,52,December,2020,12/23/2020,6
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,52,December,2020,12/24/2020,5
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,52,December,2020,12/26/2020,6
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,53,December,2020,12/28/2020,42
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,53,December,2020,12/29/2020,67
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,53,December,2020,12/30/2020,259
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,53,December,2020,12/31/2020,28
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Hospital,First Dose,53,January,2021,1/2/2021,4
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Internal Medicine,First Dose,53,December,2020,12/28/2020,1
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,52,December,2020,12/22/2020,2
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,52,December,2020,12/23/2020,19
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,52,December,2020,12/26/2020,5
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,53,December,2020,12/27/2020,3
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,53,December,2020,12/28/2020,45
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,53,December,2020,12/29/2020,22
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Local Health Department,First Dose,53,December,2020,12/30/2020,20
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Other,First Dose,52,December,2020,12/22/2020,1
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Other,First Dose,52,December,2020,12/23/2020,2
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Other,First Dose,53,December,2020,12/28/2020,1
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Other,First Dose,53,December,2020,12/30/2020,1
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Other,First Dose,53,December,2020,12/31/2020,1
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Other,First Dose,53,January,2021,1/2/2021,6
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Pharmacy,First Dose,53,December,2020,12/28/2020,39
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Pharmacy,First Dose,53,December,2020,12/29/2020,3
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Pharmacy,First Dose,53,December,2020,12/30/2020,1
2020-21,Region 1,Ingham County Health Department,Ingham,Moderna,Pharmacy,First Dose,53,January,2021,1/2/2021,1
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,51,December,2020,12/14/2020,1
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,51,December,2020,12/16/2020,1
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,51,December,2020,12/17/2020,22
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,51,December,2020,12/18/2020,509
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,51,December,2020,12/19/2020,9
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/20/2020,32
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/21/2020,311
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/22/2020,326
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/23/2020,487
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/24/2020,13
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/25/2020,1
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,52,December,2020,12/26/2020,22
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,December,2020,12/27/2020,8
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,December,2020,12/28/2020,253
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,December,2020,12/29/2020,251
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,December,2020,12/30/2020,310
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,December,2020,12/31/2020,24
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,January,2021,1/1/2021,5
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Hospital,First Dose,53,January,2021,1/2/2021,25
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,51,December,2020,12/18/2020,19
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,51,December,2020,12/19/2020,1
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,52,December,2020,12/21/2020,175
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,52,December,2020,12/22/2020,203
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,52,December,2020,12/23/2020,216
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,52,December,2020,12/26/2020,3
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,53,December,2020,12/28/2020,201
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,53,December,2020,12/29/2020,196
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,53,December,2020,12/30/2020,241
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,53,December,2020,12/31/2020,18
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Local Health Department,First Dose,53,January,2021,1/2/2021,4
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Pharmacy,First Dose,52,December,2020,12/21/2020,12
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Pharmacy,First Dose,52,December,2020,12/22/2020,32
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Pharmacy,First Dose,52,December,2020,12/23/2020,8
2020-21,Region 1,Ingham County Health Department,Ingham,Pfizer,Pharmacy,First Dose,52,December,2020,12/24/2020,1
2020-21,Region 1,Jackson County Health Department,Jackson,Moderna,Federally Qualified Health Center,First Dose,53,December,2020,12/31/2020,1
2020-21,Region 1,Jackson County Health Department,Jackson,Moderna,Hospital,First Dose,52,December,2020,12/23/2020,6
2020-21,Region 1,Jackson County Health Department,Jackson,Moderna,Hospital,First Dose,52,December,2020,12/24/2020,5
2020-21,Region 1,Jackson County Health Department,Jackson,Moderna,Hospital,First Dose,52,December,2020,12/26/2020,17
